ID,Latitude,Longitude,Name
tene1248,14.0675,-3.37158,Tengou-Togo Dogon
tomo1243,13.6331,-3.82228,Tomo Kan Dogon
jams1239,14.1794,-2.57999,Jamsay Dogon
toro1253,15.0644,-2.22427,Toro Tegu Dogon
nang1261,14.49,-3.02,Nanga
bent1238,14.78,-2.94,Ben Tey Dogon
bank1259,15.06,-2.92,Bankan Tey Dogon
ampa1238,14.15,-3.55,Ampari Dogon
buno1241,14.43,-3.49,Bunoge Dogon
pena1270,14.38,-4.03,Penange
momb1254,14.376155,-3.664799,Mombo Dogon
tira1258,14.76,-3.7,Tiranige Diga Dogon
bond1248,14.9066,-3.32636,Najamba-Kindige
tebu1239,14.66,-3.1,Tebul Ure Dogon
anat1248,14.6669,-3.1168,Ana Tinga Dogon
yand1257,14.63,-3.15,Yanda Dom Dogon
dogu1235,14.5872,-3.56855,Dogul Dom Dogon
tomm1242,14.756,-3.28,Tommo So Dogon
toro1252,14.40749,-3.10006,Toro So Dogon
donn1239,14.34019,-3.51468,Donno So Dogon
